iter	Passed	Remaining
535	9757	8446
536	9773	8427
537	9790	8407
538	9807	8388
539	9820	8365
540	9845	8353
541	9869	8340
542	9911	8342
543	9940	8332
544	9966	8320
545	9992	8308
546	10026	8303
547	10051	8290
548	10075	8277
549	10098	8262
550	10116	8243
551	10130	8222
552	10151	8205
553	10165	8183
554	10178	8161
555	10195	8141
556	10212	8122
557	10232	8105
558	10261	8095
559	10287	8082
560	10302	8062
561	10325	8047
562	10345	8030
563	10358	8007
564	10374	7987
565	10398	7973
566	10414	7952
567	10435	7936
568	10454	7918
569	10470	7898
570	10492	7883
571	10508	7862
572	10525	7843
573	10541	7823
574	10553	7800
575	10565	7777
576	10574	7752
577	10585	7728
578	10596	7705
579	10607	7681
580	10618	7657
581	10631	7635
582	10651	7618
583	10661	7594
584	10675	7572
585	10690	7552
586	10700	7528
587	10713	7506
588	10726	7484
589	10743	7465
590	10754	7442
591	10766	7420
592	10778	7397
593	10791	7376
594	10805	7354
595	10817	7332
596	10831	7311
597	10845	7290
598	10856	7267
599	10866	7244
600	10878	7222
601	10890	7199
602	10903	7178
603	10914	7155
604	10928	7134
605	10940	7112
606	10959	7095
607	10972	7074
608	10986	7053
609	11009	7039
610	11023	7018
611	11037	6997
612	11050	6976
613	11068	6958
614	11083	6938
615	11096	6917
616	11116	6900
617	11131	6880
618	11143	6858
619	11157	6838
620	11170	6817
621	11190	6800
622	11203	6779
623	11220	6760
624	11235	6741
625	11255	6724
626	11285	6713
627	11307	6698
628	11322	6678
629	11335	6657
630	11350	6637
631	11360	6615
632	11372	6593
633	11384	6572
634	11397	6551
635	11409	6530
636	11424	6510
637	11446	6494
638	11460	6474
639	11470	6452
640	11485	6432
641	11508	6417
642	11532	6402
643	11546	6382
644	11565	6365
645	11581	6346
646	11597	6327
647	11617	6310
648	11637	6294
649	11659	6278
650	11678	6260
651	11695	6242
652	11714	6225
653	11728	6204
654	11748	6188
655	11766	6170
656	11783	6151
657	11810	6138
658	11833	6123
659	11908	6134
660	11945	6126
661	11967	6110
662	11986	6092
663	12000	6072
664	12028	6059
665	12077	6057
666	12114	6048
667	12126	6026
668	12139	6006
669	12149	5984
670	12160	5962
671	12168	5939
672	12180	5918
673	12193	5897
674	12214	5881
675	12230	5862
676	12239	5839
677	12251	5818
678	12261	5796
679	12279	5778
680	12290	5757
681	12300	5735
682	12310	5713
683	12321	5692
684	12335	5672
685	12347	5651
686	12362	5632
687	12374	5611
688	12386	5591
689	12403	5572
690	12421	5554
691	12434	5534
692	12452	5516
693	12469	5498
694	12489	5481
695	12503	5461
696	12526	5445
697	12553	5431
698	12573	5414
699	12598	5399
700	12619	5382
701	12646	5368
702	12699	5365
703	12727	5351
704	12748	5334
705	12763	5315
706	12790	5300
707	12811	5283
708	12833	5267
709	12855	5250
710	12866	5229
711	12882	5210
712	12894	5190
713	12914	5172
714	12935	5156
715	12958	5139
716	12977	5122
717	12998	5105
718	13020	5088
719	13034	5069
720	13057	5052
721	13072	5033
722	13082	5012
723	13100	4994
724	13123	4977
725	13137	4958
726	13156	4940
727	13173	4921
728	13184	4901
729	13202	4883
730	13214	4862
731	13229	4843
732	13241	4823
733	13259	4805
734	13272	4785
735	13286	4765
736	13304	4747
737	13323	4729
738	13346	4713
739	13368	4697
740	13384	4678
741	13400	4659
742	13410	4638
743	13427	4620
744	13440	4600
745	13455	4581
746	13468	4561
747	13484	4542
748	13499	4523
749	13512	4504
750	13528	4485
751	13539	4465
752	13561	4448
753	13573	4428
754	13591	4410
755	13606	4391
756	13632	4375
757	13645	4356
758	13664	4338
759	13677	4319
760	13688	4298
761	13705	4280
762	13717	4260
763	13734	4242
764	13753	4224
765	13778	4209
766	13800	4192
767	13823	4175
768	13849	4160
769	13869	4142
770	13882	4123
771	13901	4105
772	13914	4086
773	13927	4066
774	13939	4047
775	13949	4026
776	13959	4006
777	13971	3986
778	13994	3970
779	14012	3952
780	14028	3933
781	14045	3915
782	14063	3897
783	14077	3878
784	14099	3861
785	14120	3844
786	14136	3826
787	14155	3808
788	14166	3788
789	14182	3770
790	14193	3750
791	14207	3731
792	14220	3712
793	14234	3693
794	14249	3674
795	14260	3654
796	14280	3637
797	14291	3617
798	14305	3598
799	14317	3579
800	14329	3560
801	14346	3541
802	14367	3524
803	14385	3506
804	14398	3487
805	14412	3469
806	14428	3450
807	14440	3431
808	14459	3413
809	14477	3395
810	14507	3380
811	14531	3364
812	14553	3347
813	14570	3329
814	14584	3310
815	14600	3292
816	14618	3274
817	14634	3256
818	14648	3237
819	14662	3218
820	14681	3201
821	14694	3182
822	14711	3163
823	14733	3147
824	14758	3130
825	14792	3116
826	14805	3097
827	14820	3078
828	14830	3059
829	14845	3040
830	14858	3021
831	14871	3002
832	14882	2983
833	14893	2964
834	14908	2946
835	14921	2927
836	14930	2907
837	14951	2890
838	14963	2871
839	14977	2852
840	14990	2834
841	15003	2815
842	15028	2798
843	15041	2780
844	15056	2761
845	15073	2743
846	15088	2725
847	15102	2706
848	15119	2689
849	15130	2670
850	15148	2652
851	15166	2634
852	15190	2617
853	15213	2600
854	15238	2584
855	15261	2567
856	15280	2549
857	15304	2532
858	15322	2515
859	15343	2497
860	15365	2480
861	15383	2462
862	15400	2444
863	15415	2426
864	15429	2408
865	15442	2389
866	15460	2371
867	15472	2352
868	15488	2334
869	15500	2316
870	15514	2297
871	15530	2279
872	15549	2262
873	15560	2243
874	15574	2224
875	15585	2206
876	15597	2187
877	15611	2169
878	15623	2150
879	15634	2132
880	15646	2113
881	15656	2094
882	15667	2076
883	15680	2057
884	15692	2039
885	15712	2021
886	15725	2003
887	15740	1985
888	15753	1966
889	15771	1949
890	15785	1931
891	15797	1912
892	15813	1894
893	15826	1876
894	15840	1858
895	15860	1840
896	15872	1822
897	15892	1805
898	15904	1786
899	15914	1768
